id,name,type,desc,atk,def,level,race,attribute,archetype,banlist_info.ban_tcg,banlist_info.ban_ocg,banlist_info.ban_goat,card_sets_set_name,card_sets_set_code,card_sets_set_rarity,card_sets_set_rarity_code,card_sets_set_price,card_images_id,card_images_image_url,card_images_image_url_small,card_prices_cardmarket_price,card_prices_tcgplayer_price,card_prices_ebay_price,card_prices_amazon_price,card_prices_coolstuffinc_price
6983839,Tornado Dragon,XYZ Monster,"2 Level 4 monsters
Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 Spell/Trap on the field; destroy it.",2100.0,2000.0,4.0,Wyrm,WIND,,,,,Battles of Legend: Relentless Revenge,BLRR-EN084,Secret Rare,(ScR),4.65,6983839,https://images.ygoprodeck.com/images/cards/6983839.jpg,https://images.ygoprodeck.com/images/cards_small/6983839.jpg,0.19,0.15,1.90,1.39,0.79
6983839,Tornado Dragon,XYZ Monster,"2 Level 4 monsters
Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 Spell/Trap on the field; destroy it.",2100.0,2000.0,4.0,Wyrm,WIND,,,,,Duel Devastator,DUDE-EN019,Ultra Rare,(UR),1.58,6983839,https://images.ygoprodeck.com/images/cards/6983839.jpg,https://images.ygoprodeck.com/images/cards_small/6983839.jpg,0.19,0.15,1.90,1.39,0.79
6983839,Tornado Dragon,XYZ Monster,"2 Level 4 monsters
Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 Spell/Trap on the field; destroy it.",2100.0,2000.0,4.0,Wyrm,WIND,,,,,Legendary Duelists: Synchro Storm,LED8-EN055,Common,(C),0.96,6983839,https://images.ygoprodeck.com/images/cards/6983839.jpg,https://images.ygoprodeck.com/images/cards_small/6983839.jpg,0.19,0.15,1.90,1.39,0.79
6983839,Tornado Dragon,XYZ Monster,"2 Level 4 monsters
Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 Spell/Trap on the field; destroy it.",2100.0,2000.0,4.0,Wyrm,WIND,,,,,Maximum Crisis,MACR-EN081,Secret Rare,(ScR),4.49,6983839,https://images.ygoprodeck.com/images/cards/6983839.jpg,https://images.ygoprodeck.com/images/cards_small/6983839.jpg,0.19,0.15,1.90,1.39,0.79
33396948,Exodia the Forbidden One,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",1000.0,1000.0,3.0,Spellcaster,DARK,Exodia,Limited,Limited,Limited,Dark Beginning 1,DB1-EN139,Ultra Rare,(UR),40.1,33396948,https://images.ygoprodeck.com/images/cards/33396948.jpg,https://images.ygoprodeck.com/images/cards_small/33396948.jpg,0.46,0.83,24.98,1.29,29.99
33396948,Exodia the Forbidden One,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",1000.0,1000.0,3.0,Spellcaster,DARK,Exodia,Limited,Limited,Limited,Dark Legends,DLG1-EN022,Ultra Rare,(UR),124.91,33396948,https://images.ygoprodeck.com/images/cards/33396948.jpg,https://images.ygoprodeck.com/images/cards_small/33396948.jpg,0.46,0.83,24.98,1.29,29.99
33396948,Exodia the Forbidden One,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",1000.0,1000.0,3.0,Spellcaster,DARK,Exodia,Limited,Limited,Limited,Duelist League 2 participation cards,DL11-EN006,Rare,(R),35.39,33396948,https://images.ygoprodeck.com/images/cards/33396948.jpg,https://images.ygoprodeck.com/images/cards_small/33396948.jpg,0.46,0.83,24.98,1.29,29.99
33396948,Exodia the Forbidden One,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",1000.0,1000.0,3.0,Spellcaster,DARK,Exodia,Limited,Limited,Limited,Legend of Blue Eyes White Dragon,LOB-124,Ultra Rare,(UR),33.07,33396948,https://images.ygoprodeck.com/images/cards/33396948.jpg,https://images.ygoprodeck.com/images/cards_small/33396948.jpg,0.46,0.83,24.98,1.29,29.99
33396948,Exodia the Forbidden One,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",1000.0,1000.0,3.0,Spellcaster,DARK,Exodia,Limited,Limited,Limited,Legend of Blue Eyes White Dragon,LOB-E101,Ultra Rare,(UR),220.62,33396948,https://images.ygoprodeck.com/images/cards/33396948.jpg,https://images.ygoprodeck.com/images/cards_small/33396948.jpg,0.46,0.83,24.98,1.29,29.99
33396948,Exodia the Forbidden One,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",1000.0,1000.0,3.0,Spellcaster,DARK,Exodia,Limited,Limited,Limited,Legend of Blue Eyes White Dragon,LOB-EN124,Ultra Rare,(UR),88.16,33396948,https://images.ygoprodeck.com/images/cards/33396948.jpg,https://images.ygoprodeck.com/images/cards_small/33396948.jpg,0.46,0.83,24.98,1.29,29.99
